id1,id2,weight
A630,A63,1
A630,Block A50-A64,1
A630,ICD10,1
A63,Chapter I,1
A63,Block A50-A64,1
A63,ICD10,1
A638,Chapter I,1
A638,A63,1
A638,Block A50-A64,1
A638,ICD10,1
A64,Chapter I,1
A64,Block A50-A64,1
A64,ICD10,1
A65,Chapter I,1
A65,ICD10,1
A65,Block A65-A69,1
Block A65-A69,Chapter I,1
Block A65-A69,ICD10,1
A660,Chapter I,1
A660,ICD10,1
A660,A66,1
A660,Block A65-A69,1
A66,Chapter I,1
A66,ICD10,1
A66,Block A65-A69,1
A661,Chapter I,1
A661,ICD10,1
A661,A66,1
A661,Block A65-A69,1
A662,Chapter I,1
A662,ICD10,1
A662,A66,1
A662,Block A65-A69,1
A663,Chapter I,1
A663,ICD10,1
A663,A66,1
A663,Block A65-A69,1
A664,Chapter I,1
A664,ICD10,1
A664,A66,1
A664,Block A65-A69,1
A665,Chapter I,1
A665,ICD10,1
A665,A66,1
A665,Block A65-A69,1
A666,Chapter I,1
A666,ICD10,1
A666,A66,1
A666,Block A65-A69,1
A667,Chapter I,1
A667,ICD10,1
A667,A66,1
A667,Block A65-A69,1
A668,Chapter I,1
A668,ICD10,1
A668,A66,1
A668,Block A65-A69,1
A669,Chapter I,1
A669,ICD10,1
A669,A66,1
A669,Block A65-A69,1
A670,Chapter I,1
A670,ICD10,1
A670,A67,1
A670,Block A65-A69,1
A67,Chapter I,1
A67,ICD10,1
A67,Block A65-A69,1
A671,Chapter I,1
A671,ICD10,1
A671,A67,1
A671,Block A65-A69,1
A672,Chapter I,1
A672,ICD10,1
A672,A67,1
A672,Block A65-A69,1
A673,Chapter I,1
A673,ICD10,1
A673,A67,1
A673,Block A65-A69,1
A679,Chapter I,1
